district,date,landslide,state,slope_deg,elevation_m,aspect_deg,curvature,twi,lulc_class,lithology,dist_river_km,drainage_density,ndvi,rain_1d,rain_3d,rain_7d,rain_15d,rain_max3d,is_monsoon,slope_x_rain7d,twi_x_rain15d,rain_intensity_ratio,soil_saturation_proxy
Nilgiris,2023-12-03,0,Tamil Nadu,27.3,1820,98,-0.59,6.9,0,2,0.8,3.5,0.76,1.9,2.6,9.0,58.0,1.9,0,2.4570000000000003,4.002000000000001,1.3711340206185565,3.0208333333333335
Theni,2019-08-05,0,Tamil Nadu,23.9,940,92,-0.51,7.3,0,2,1.1,3.0,0.66,1.4,2.4,2.6,19.4,1.4,1,0.6214,1.4161999999999997,2.9696969696969697,1.8653846153846152
Malappuram,2019-11-06,0,Kerala,18.3,420,78,-0.28,8.1,1,1,2.1,2.4,0.61,1.2,9.0,40.9,132.0,6.9,0,7.4847,10.692,0.20192307692307693,25.384615384615383
Satara,2017-01-04,0,Maharashtra,21.5,780,120,-0.44,7.6,1,3,1.5,2.7,0.48,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
Theni,2021-09-12,0,Tamil Nadu,23.9,940,92,-0.51,7.3,0,2,1.1,3.0,0.66,2.4,3.3,8.0,54.3,2.4,1,1.912,3.9638999999999998,1.9310344827586206,5.221153846153846
Idukki,2019-08-09,1,Kerala,28.2,1050,95,-0.55,7.2,0,2,0.9,3.1,0.68,55.2,143.7,180.9,189.7,55.2,1,51.0138,13.658399999999999,2.1277533039647576,16.495652173913044
Chikmagalur,2017-08-18,0,Karnataka,22.4,890,92,-0.48,7.5,0,2,1.4,2.9,0.69,9.4,21.8,41.8,89.2,9.4,1,9.363199999999999,6.69,1.5482352941176474,9.01010101010101
Chikmagalur,2019-12-03,0,Karnataka,22.4,890,92,-0.48,7.5,0,2,1.4,2.9,0.69,0.4,24.7,27.2,27.8,14.8,0,6.0927999999999995,2.085,0.1003584229390681,2.808080808080808
Shivamogga,2023-01-17,0,Karnataka,17.3,540,118,-0.29,8.2,0,3,1.6,2.5,0.65,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
Ratnagiri,2021-07-23,1,Maharashtra,16.8,350,75,-0.25,8.3,1,3,2.0,2.1,0.55,51.0,181.5,392.7,745.7,91.7,1,65.97359999999999,61.89310000000001,0.9074733096085409,165.7111111111111
