,rain_1d,rain_3d,rain_7d,rain_15d,rain_max3d,is_monsoon,district,state
2015-01-01,1.35,1.35,1.35,1.35,1.35,0,Coimbatore,Tamil Nadu
2015-01-02,0.0,1.35,1.35,1.35,1.35,0,Coimbatore,Tamil Nadu
2015-01-03,0.0,1.35,1.35,1.35,1.35,0,Coimbatore,Tamil Nadu
2015-01-04,0.0,0.0,1.35,1.35,0.0,0,Coimbatore,Tamil Nadu
2015-01-05,0.0,0.0,1.35,1.35,0.0,0,Coimbatore,Tamil Nadu
2015-01-06,0.0,0.0,1.35,1.35,0.0,0,Coimbatore,Tamil Nadu
2015-01-07,0.0,0.0,1.35,1.35,0.0,0,Coimbatore,Tamil Nadu
2015-01-08,0.0,0.0,0.0,1.35,0.0,0,Coimbatore,Tamil Nadu
2015-01-09,0.0,0.0,0.0,1.35,0.0,0,Coimbatore,Tamil Nadu
2015-01-10,0.0,0.0,0.0,1.35,0.0,0,Coimbatore,Tamil Nadu
2015-01-11,0.0,0.0,0.0,1.35,0.0,0,Coimbatore,Tamil Nadu
2015-01-12,0.0,0.0,0.0,1.35,0.0,0,Coimbatore,Tamil Nadu
2015-01-13,0.0,0.0,0.0,1.35,0.0,0,Coimbatore,Tamil Nadu
2015-01-14,0.0,0.0,0.0,1.35,0.0,0,Coimbatore,Tamil Nadu
2015-01-15,0.0,0.0,0.0,1.35,0.0,0,Coimbatore,Tamil Nadu
2015-01-16,0.0,0.0,0.0,0.0,0.0,0,Coimbatore,Tamil Nadu
2015-01-17,0.0,0.0,0.0,0.0,0.0,0,Coimbatore,Tamil Nadu
2015-01-18,0.0,0.0,0.0,0.0,0.0,0,Coimbatore,Tamil Nadu
2015-01-19,0.0,0.0,0.0,0.0,0.0,0,Coimbatore,Tamil Nadu
2015-01-20,0.0,0.0,0.0,0.0,0.0,0,Coimbatore,Tamil Nadu
2015-01-21,0.02,0.02,0.02,0.02,0.02,0,Coimbatore,Tamil Nadu
2015-01-22,0.14,0.16,0.16,0.16,0.14,0,Coimbatore,Tamil Nadu
2015-01-23,0.06,0.22,0.22,0.22,0.14,0,Coimbatore,Tamil Nadu
2015-01-24,0.08,0.28,0.3,0.3,0.14,0,Coimbatore,Tamil Nadu
2015-01-25,0.0,0.14,0.3,0.3,0.08,0,Coimbatore,Tamil Nadu
2015-01-26,0.0,0.08,0.3,0.3,0.08,0,Coimbatore,Tamil Nadu
2015-01-27,0.0,0.0,0.3,0.3,0.0,0,Coimbatore,Tamil Nadu
2015-01-28,0.0,0.0,0.27999999999999997,0.3,0.0,0,Coimbatore,Tamil Nadu
2015-01-29,0.0,0.0,0.14,0.3,0.0,0,Coimbatore,Tamil Nadu
2015-01-30,0.0,0.0,0.08,0.3,0.0,0,Coimbatore,Tamil Nadu
2015-01-31,0.0,0.0,0.0,0.3,0.0,0,Coimbatore,Tamil Nadu
2015-02-01,0.0,0.0,0.0,0.3,0.0,0,Coimbatore,Tamil Nadu
2015-02-02,0.0,0.0,0.0,0.3,0.0,0,Coimbatore,Tamil Nadu
2015-02-03,0.0,0.0,0.0,0.3,0.0,0,Coimbatore,Tamil Nadu
2015-02-04,0.0,0.0,0.0,0.3,0.0,0,Coimbatore,Tamil Nadu
2015-02-05,0.0,0.0,0.0,0.27999999999999997,0.0,0,Coimbatore,Tamil Nadu
2015-02-06,0.0,0.0,0.0,0.14,0.0,0,Coimbatore,Tamil Nadu
2015-02-07,0.07,0.07,0.07,0.15000000000000002,0.07,0,Coimbatore,Tamil Nadu
2015-02-08,0.0,0.07,0.07,0.07,0.07,0,Coimbatore,Tamil Nadu
2015-02-09,0.0,0.07,0.07,0.07,0.07,0,Coimbatore,Tamil Nadu
2015-02-10,0.0,0.0,0.07,0.07,0.0,0,Coimbatore,Tamil Nadu
2015-02-11,0.0,0.0,0.07,0.07,0.0,0,Coimbatore,Tamil Nadu
2015-02-12,0.08,0.08,0.15000000000000002,0.15000000000000002,0.08,0,Coimbatore,Tamil Nadu
2015-02-13,0.09,0.16999999999999998,0.24,0.24,0.09,0,Coimbatore,Tamil Nadu
2015-02-14,0.01,0.18,0.18,0.25,0.09,0,Coimbatore,Tamil Nadu
2015-02-15,0.0,0.09999999999999999,0.18,0.25,0.09,0,Coimbatore,Tamil Nadu
2015-02-16,0.0,0.01,0.18,0.25,0.01,0,Coimbatore,Tamil Nadu
2015-02-17,0.0,0.0,0.18,0.25,0.0,0,Coimbatore,Tamil Nadu
