,rain_1d,rain_3d,rain_7d,rain_15d,rain_max3d,is_monsoon,district,state
2015-01-01,3.38,3.38,3.38,3.38,3.38,0,Dindigul,Tamil Nadu
2015-01-02,0.01,3.3899999999999997,3.3899999999999997,3.3899999999999997,3.38,0,Dindigul,Tamil Nadu
2015-01-03,0.0,3.3899999999999997,3.3899999999999997,3.3899999999999997,3.38,0,Dindigul,Tamil Nadu
2015-01-04,0.0,0.01,3.3899999999999997,3.3899999999999997,0.01,0,Dindigul,Tamil Nadu
2015-01-05,0.0,0.0,3.3899999999999997,3.3899999999999997,0.0,0,Dindigul,Tamil Nadu
2015-01-06,0.0,0.0,3.3899999999999997,3.3899999999999997,0.0,0,Dindigul,Tamil Nadu
2015-01-07,0.0,0.0,3.3899999999999997,3.3899999999999997,0.0,0,Dindigul,Tamil Nadu
2015-01-08,0.0,0.0,0.01,3.3899999999999997,0.0,0,Dindigul,Tamil Nadu
2015-01-09,0.0,0.0,0.0,3.3899999999999997,0.0,0,Dindigul,Tamil Nadu
2015-01-10,0.0,0.0,0.0,3.3899999999999997,0.0,0,Dindigul,Tamil Nadu
2015-01-11,0.0,0.0,0.0,3.3899999999999997,0.0,0,Dindigul,Tamil Nadu
2015-01-12,0.0,0.0,0.0,3.3899999999999997,0.0,0,Dindigul,Tamil Nadu
2015-01-13,0.0,0.0,0.0,3.3899999999999997,0.0,0,Dindigul,Tamil Nadu
2015-01-14,0.0,0.0,0.0,3.3899999999999997,0.0,0,Dindigul,Tamil Nadu
2015-01-15,0.0,0.0,0.0,3.3899999999999997,0.0,0,Dindigul,Tamil Nadu
2015-01-16,0.01,0.01,0.01,0.02,0.01,0,Dindigul,Tamil Nadu
2015-01-17,0.01,0.02,0.02,0.02,0.01,0,Dindigul,Tamil Nadu
2015-01-18,0.0,0.02,0.02,0.02,0.01,0,Dindigul,Tamil Nadu
2015-01-19,0.0,0.01,0.02,0.02,0.01,0,Dindigul,Tamil Nadu
2015-01-20,0.0,0.0,0.02,0.02,0.0,0,Dindigul,Tamil Nadu
2015-01-21,0.01,0.01,0.03,0.03,0.01,0,Dindigul,Tamil Nadu
2015-01-22,0.05,0.060000000000000005,0.08,0.08,0.05,0,Dindigul,Tamil Nadu
2015-01-23,0.77,0.8300000000000001,0.8400000000000001,0.85,0.77,0,Dindigul,Tamil Nadu
2015-01-24,0.21,1.03,1.04,1.06,0.77,0,Dindigul,Tamil Nadu
2015-01-25,0.0,0.98,1.04,1.06,0.77,0,Dindigul,Tamil Nadu
2015-01-26,0.0,0.21,1.04,1.06,0.21,0,Dindigul,Tamil Nadu
2015-01-27,0.0,0.0,1.04,1.06,0.0,0,Dindigul,Tamil Nadu
2015-01-28,0.0,0.0,1.03,1.06,0.0,0,Dindigul,Tamil Nadu
2015-01-29,0.0,0.0,0.98,1.06,0.0,0,Dindigul,Tamil Nadu
2015-01-30,0.0,0.0,0.21,1.06,0.0,0,Dindigul,Tamil Nadu
2015-01-31,0.0,0.0,0.0,1.05,0.0,0,Dindigul,Tamil Nadu
2015-02-01,0.0,0.0,0.0,1.04,0.0,0,Dindigul,Tamil Nadu
2015-02-02,0.0,0.0,0.0,1.04,0.0,0,Dindigul,Tamil Nadu
2015-02-03,0.0,0.0,0.0,1.04,0.0,0,Dindigul,Tamil Nadu
2015-02-04,0.18,0.18,0.18,1.22,0.18,0,Dindigul,Tamil Nadu
