,rain_1d,rain_3d,rain_7d,rain_15d,rain_max3d,is_monsoon,district,state
2015-01-01,1.84,1.84,1.84,1.84,1.84,0,Idukki,Kerala
2015-01-02,0.0,1.84,1.84,1.84,1.84,0,Idukki,Kerala
2015-01-03,0.0,1.84,1.84,1.84,1.84,0,Idukki,Kerala
2015-01-04,0.0,0.0,1.84,1.84,0.0,0,Idukki,Kerala
2015-01-05,0.0,0.0,1.84,1.84,0.0,0,Idukki,Kerala
2015-01-06,0.0,0.0,1.84,1.84,0.0,0,Idukki,Kerala
2015-01-07,0.0,0.0,1.84,1.84,0.0,0,Idukki,Kerala
2015-01-08,0.0,0.0,0.0,1.84,0.0,0,Idukki,Kerala
2015-01-09,0.0,0.0,0.0,1.84,0.0,0,Idukki,Kerala
2015-01-10,0.0,0.0,0.0,1.84,0.0,0,Idukki,Kerala
2015-01-11,0.0,0.0,0.0,1.84,0.0,0,Idukki,Kerala
2015-01-12,0.0,0.0,0.0,1.84,0.0,0,Idukki,Kerala
2015-01-13,0.0,0.0,0.0,1.84,0.0,0,Idukki,Kerala
2015-01-14,0.0,0.0,0.0,1.84,0.0,0,Idukki,Kerala
2015-01-15,0.0,0.0,0.0,1.84,0.0,0,Idukki,Kerala
2015-01-16,0.0,0.0,0.0,0.0,0.0,0,Idukki,Kerala
2015-01-17,0.0,0.0,0.0,0.0,0.0,0,Idukki,Kerala
2015-01-18,0.0,0.0,0.0,0.0,0.0,0,Idukki,Kerala
2015-01-19,0.0,0.0,0.0,0.0,0.0,0,Idukki,Kerala
2015-01-20,0.0,0.0,0.0,0.0,0.0,0,Idukki,Kerala
2015-01-21,0.21,0.21,0.21,0.21,0.21,0,Idukki,Kerala
2015-01-22,1.98,2.19,2.19,2.19,1.98,0,Idukki,Kerala
2015-01-23,0.04,2.23,2.23,2.23,1.98,0,Idukki,Kerala
2015-01-24,0.05,2.07,2.28,2.28,1.98,0,Idukki,Kerala
2015-01-25,0.0,0.09,2.28,2.28,0.05,0,Idukki,Kerala
2015-01-26,0.0,0.05,2.28,2.28,0.05,0,Idukki,Kerala
2015-01-27,0.0,0.0,2.28,2.28,0.0,0,Idukki,Kerala
2015-01-28,0.0,0.0,2.07,2.28,0.0,0,Idukki,Kerala
2015-01-29,0.0,0.0,0.09,2.28,0.0,0,Idukki,Kerala
2015-01-30,0.0,0.0,0.05,2.28,0.0,0,Idukki,Kerala
2015-01-31,0.0,0.0,0.0,2.28,0.0,0,Idukki,Kerala
2015-02-01,0.0,0.0,0.0,2.28,0.0,0,Idukki,Kerala
2015-02-02,0.0,0.0,0.0,2.28,0.0,0,Idukki,Kerala
2015-02-03,0.0,0.0,0.0,2.28,0.0,0,Idukki,Kerala
2015-02-04,0.0,0.0,0.0,2.28,0.0,0,Idukki,Kerala
2015-02-05,0.0,0.0,0.0,2.07,0.0,0,Idukki,Kerala
2015-02-06,0.32,0.32,0.32,0.41000000000000003,0.32,0,Idukki,Kerala
2015-02-07,0.69,1.01,1.01,1.06,0.69,0,Idukki,Kerala
2015-02-08,0.0,1.01,1.01,1.01,0.69,0,Idukki,Kerala
2015-02-09,0.0,0.69,1.01,1.01,0.69,0,Idukki,Kerala
2015-02-10,0.0,0.0,1.01,1.01,0.0,0,Idukki,Kerala
2015-02-11,0.0,0.0,1.01,1.01,0.0,0,Idukki,Kerala
2015-02-12,0.2,0.2,1.21,1.21,0.2,0,Idukki,Kerala
2015-02-13,0.26,0.46,1.15,1.47,0.26,0,Idukki,Kerala
2015-02-14,0.0,0.46,0.46,1.47,0.26,0,Idukki,Kerala
2015-02-15,0.0,0.26,0.46,1.47,0.26,0,Idukki,Kerala
2015-02-16,0.0,0.0,0.46,1.47,0.0,0,Idukki,Kerala
2015-02-17,0.0,0.0,0.46,1.47,0.0,0,Idukki,Kerala
2015-02-18,0.0,0.0,0.46,1.47,0.0,0,Idukki,Kerala
2015-02-19,0.0,0.0,0.26,1.47,0.0,0,Idukki,Kerala
2015-02-20,0.0,0.0,0.0,1.47,0.0,0,Idukki,Kerala
2015-02-21,0.0,0.0,0.0,1.15,0.0,0,Idukki,Kerala
2015-02-22,0.0,0.0,0.0,0.46,0.0,0,Idukki,Kerala
2015-02-23,0.0,0.0,0.0,0.46,0.0,0,Idukki,Kerala
2015-02-24,0.0,0.0,0.0,0.46,0.0,0,Idukki,Kerala
2015-02-25,0.0,0.0,0.0,0.46,0.0,0,Idukki,Kerala
2015-02-26,0.03,0.03,0.03,0.49,0.03,0,Idukki,Kerala
2015-02-27,0.16,0.19,0.19,0.45,0.16,0,Idukki,Kerala
2015-02-28,0.08,0.27,0.27,0.27,0.16,0,Idukki,Kerala
2015-03-01,0.08,0.32,0.35,0.35,0.16,0,Idukki,Kerala
2015-03-02,1.57,1.73,1.92,1.92,1.57,0,Idukki,Kerala
2015-03-03,1.25,2.9,3.17,3.17,1.57,0,Idukki,Kerala
2015-03-04,0.09,2.9099999999999997,3.2600000000000002,3.2600000000000002,1.57,0,Idukki,Kerala
2015-03-05,0.0,1.34,3.2300000000000004,3.2600000000000002,1.25,0,Idukki,Kerala
2015-03-06,4.43,4.52,7.5,7.6899999999999995,4.43,0,Idukki,Kerala
2015-03-07,4.68,9.11,12.1,12.37,4.68,0,Idukki,Kerala
2015-03-08,4.29,13.399999999999999,16.31,16.66,4.68,0,Idukki,Kerala
2015-03-09,0.93,9.9,15.67,17.59,4.68,0,Idukki,Kerala
2015-03-10,0.01,5.23,14.43,17.599999999999998,4.29,0,Idukki,Kerala
2015-03-11,0.0,0.9400000000000001,14.34,17.599999999999998,0.93,0,Idukki,Kerala
2015-03-12,0.0,0.01,14.34,17.599999999999998,0.01,0,Idukki,Kerala
2015-03-13,0.03,0.03,9.94,17.599999999999998,0.03,0,Idukki,Kerala
2015-03-14,2.19,2.2199999999999998,7.45,19.63,2.19,0,Idukki,Kerala
2015-03-15,2.64,4.859999999999999,5.800000000000001,22.19,2.64,0,Idukki,Kerala
2015-03-16,8.97,13.8,13.840000000000002,31.08,8.97,0,Idukki,Kerala
2015-03-17,1.05,12.66,14.880000000000003,30.56,8.97,0,Idukki,Kerala
2015-03-18,0.0,10.02,14.880000000000003,29.31,8.97,0,Idukki,Kerala
2015-03-19,0.0,1.0499999999999983,14.880000000000003,29.22,1.05,0,Idukki,Kerala
2015-03-20,0.0,0.0,14.850000000000001,29.22,0.0,0,Idukki,Kerala
2015-03-21,0.0,0.0,12.660000000000002,24.79,0.0,0,Idukki,Kerala
2015-03-22,0.0,0.0,10.020000000000001,20.11,0.0,0,Idukki,Kerala
2015-03-23,0.0,0.0,1.05,15.82,0.0,0,Idukki,Kerala
2015-03-24,0.0,0.0,0.0,14.89,0.0,0,Idukki,Kerala
2015-03-25,0.0,0.0,0.0,14.88,0.0,0,Idukki,Kerala
2015-03-26,0.0,0.0,0.0,14.88,0.0,0,Idukki,Kerala
2015-03-27,0.0,0.0,0.0,14.88,0.0,0,Idukki,Kerala
2015-03-28,0.14,0.13999999999999824,0.14,14.99,0.14,0,Idukki,Kerala
2015-03-29,0.23,0.3699999999999982,0.37,13.030000000000001,0.23,0,Idukki,Kerala
2015-03-30,0.25,0.6199999999999982,0.62,10.64,0.25,0,Idukki,Kerala
2015-03-31,4.7,5.179999999999998,5.32,6.37,4.7,0,Idukki,Kerala
2015-04-01,8.86,13.809999999999997,14.18,14.18,8.86,0,Idukki,Kerala
2015-04-02,2.37,15.929999999999996,16.55,16.55,8.86,0,Idukki,Kerala
2015-04-03,0.07,11.299999999999997,16.62,16.62,8.86,0,Idukki,Kerala
2015-04-04,0.06,2.4999999999999982,16.54,16.68,2.37,0,Idukki,Kerala
2015-04-05,0.0,0.12999999999999823,16.31,16.68,0.07,0,Idukki,Kerala
2015-04-06,1.79,1.8499999999999983,17.849999999999998,18.47,1.79,0,Idukki,Kerala
2015-04-07,4.62,6.409999999999998,17.77,23.09,4.62,0,Idukki,Kerala
2015-04-08,4.33,10.739999999999998,13.24,27.42,4.62,0,Idukki,Kerala
2015-04-09,5.53,14.48,16.400000000000002,32.95,5.53,0,Idukki,Kerala
2015-04-10,4.45,14.309999999999999,20.78,37.4,5.53,0,Idukki,Kerala
2015-04-11,2.25,12.229999999999999,22.97,39.65,5.53,0,Idukki,Kerala
2015-04-12,2.31,9.009999999999998,25.279999999999998,41.82,4.45,0,Idukki,Kerala
2015-04-13,3.12,7.679999999999998,26.61,44.71,3.12,0,Idukki,Kerala
2015-04-14,8.53,13.959999999999997,30.520000000000003,52.99,8.53,0,Idukki,Kerala
2015-04-15,17.74,29.389999999999993,43.92999999999999,66.03,17.74,0,Idukki,Kerala
2015-04-16,9.12,35.38999999999999,47.519999999999996,66.28999999999999,17.74,0,Idukki,Kerala
2015-04-17,11.89,38.75,54.959999999999994,75.81,17.74,0,Idukki,Kerala
2015-04-18,2.72,23.73,55.42999999999999,78.46,11.89,0,Idukki,Kerala
2015-04-19,0.07,14.680000000000001,53.19,78.46999999999998,11.89,0,Idukki,Kerala
