,rain_1d,rain_3d,rain_7d,rain_15d,rain_max3d,is_monsoon,district,state
2015-01-01,0.28,0.28,0.28,0.28,0.28,0,Kodagu,Karnataka
2015-01-02,0.02,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.28,0,Kodagu,Karnataka
2015-01-03,0.0,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.28,0,Kodagu,Karnataka
2015-01-04,0.0,0.02,0.30000000000000004,0.30000000000000004,0.02,0,Kodagu,Karnataka
2015-01-05,0.01,0.01,0.31000000000000005,0.31000000000000005,0.01,0,Kodagu,Karnataka
2015-01-06,0.0,0.01,0.31000000000000005,0.31000000000000005,0.01,0,Kodagu,Karnataka
2015-01-07,0.0,0.01,0.31000000000000005,0.31000000000000005,0.01,0,Kodagu,Karnataka
2015-01-08,0.0,0.0,0.03,0.31000000000000005,0.0,0,Kodagu,Karnataka
2015-01-09,0.0,0.0,0.01,0.31000000000000005,0.0,0,Kodagu,Karnataka
2015-01-10,0.0,0.0,0.01,0.31000000000000005,0.0,0,Kodagu,Karnataka
2015-01-11,0.0,0.0,0.01,0.31000000000000005,0.0,0,Kodagu,Karnataka
2015-01-12,0.0,0.0,0.0,0.31000000000000005,0.0,0,Kodagu,Karnataka
2015-01-13,0.0,0.0,0.0,0.31000000000000005,0.0,0,Kodagu,Karnataka
2015-01-14,0.0,0.0,0.0,0.31000000000000005,0.0,0,Kodagu,Karnataka
2015-01-15,0.0,0.0,0.0,0.31000000000000005,0.0,0,Kodagu,Karnataka
2015-01-16,0.0,0.0,0.0,0.03,0.0,0,Kodagu,Karnataka
2015-01-17,0.0,0.0,0.0,0.01,0.0,0,Kodagu,Karnataka
2015-01-18,0.0,0.0,0.0,0.01,0.0,0,Kodagu,Karnataka
2015-01-19,0.0,0.0,0.0,0.01,0.0,0,Kodagu,Karnataka
2015-01-20,0.0,0.0,0.0,0.0,0.0,0,Kodagu,Karnataka
2015-01-21,0.01,0.01,0.01,0.01,0.01,0,Kodagu,Karnataka
2015-01-22,0.0,0.01,0.01,0.01,0.01,0,Kodagu,Karnataka
2015-01-23,0.0,0.01,0.01,0.01,0.01,0,Kodagu,Karnataka
2015-01-24,0.0,0.0,0.01,0.01,0.0,0,Kodagu,Karnataka
2015-01-25,0.01,0.01,0.02,0.02,0.01,0,Kodagu,Karnataka
2015-01-26,0.01,0.02,0.03,0.03,0.01,0,Kodagu,Karnataka
2015-01-27,0.0,0.02,0.03,0.03,0.01,0,Kodagu,Karnataka
2015-01-28,0.0,0.01,0.019999999999999997,0.03,0.01,0,Kodagu,Karnataka
2015-01-29,0.03,0.03,0.049999999999999996,0.06,0.03,0,Kodagu,Karnataka
2015-01-30,0.01,0.04,0.06,0.06999999999999999,0.03,0,Kodagu,Karnataka
2015-01-31,0.0,0.04,0.06,0.06999999999999999,0.03,0,Kodagu,Karnataka
2015-02-01,0.01,0.02,0.06,0.08,0.01,0,Kodagu,Karnataka
