,rain_1d,rain_3d,rain_7d,rain_15d,rain_max3d,is_monsoon,district,state
2015-01-01,0.15,0.15,0.15,0.15,0.15,0,Kozhikode,Kerala
2015-01-02,0.01,0.16,0.16,0.16,0.15,0,Kozhikode,Kerala
2015-01-03,0.0,0.16,0.16,0.16,0.15,0,Kozhikode,Kerala
2015-01-04,0.0,0.01,0.16,0.16,0.01,0,Kozhikode,Kerala
2015-01-05,0.0,0.0,0.16,0.16,0.0,0,Kozhikode,Kerala
2015-01-06,0.01,0.01,0.16999999999999998,0.16999999999999998,0.01,0,Kozhikode,Kerala
2015-01-07,0.0,0.01,0.16999999999999998,0.16999999999999998,0.01,0,Kozhikode,Kerala
2015-01-08,0.0,0.01,0.02,0.16999999999999998,0.01,0,Kozhikode,Kerala
2015-01-09,0.0,0.0,0.01,0.16999999999999998,0.0,0,Kozhikode,Kerala
2015-01-10,0.0,0.0,0.01,0.16999999999999998,0.0,0,Kozhikode,Kerala
2015-01-11,0.0,0.0,0.01,0.16999999999999998,0.0,0,Kozhikode,Kerala
2015-01-12,0.0,0.0,0.01,0.16999999999999998,0.0,0,Kozhikode,Kerala
2015-01-13,0.0,0.0,0.0,0.16999999999999998,0.0,0,Kozhikode,Kerala
2015-01-14,0.0,0.0,0.0,0.16999999999999998,0.0,0,Kozhikode,Kerala
2015-01-15,0.0,0.0,0.0,0.16999999999999998,0.0,0,Kozhikode,Kerala
2015-01-16,0.0,0.0,0.0,0.02,0.0,0,Kozhikode,Kerala
2015-01-17,0.0,0.0,0.0,0.01,0.0,0,Kozhikode,Kerala
2015-01-18,0.0,0.0,0.0,0.01,0.0,0,Kozhikode,Kerala
2015-01-19,0.0,0.0,0.0,0.01,0.0,0,Kozhikode,Kerala
2015-01-20,0.0,0.0,0.0,0.01,0.0,0,Kozhikode,Kerala
2015-01-21,0.04,0.04,0.04,0.04,0.04,0,Kozhikode,Kerala
2015-01-22,0.06,0.1,0.1,0.1,0.06,0,Kozhikode,Kerala
2015-01-23,0.01,0.11,0.11,0.11,0.06,0,Kozhikode,Kerala
2015-01-24,0.01,0.08,0.12,0.12,0.06,0,Kozhikode,Kerala
2015-01-25,0.01,0.03,0.13,0.13,0.01,0,Kozhikode,Kerala
2015-01-26,0.02,0.04,0.15,0.15,0.02,0,Kozhikode,Kerala
2015-01-27,0.0,0.030000000000000002,0.15,0.15,0.02,0,Kozhikode,Kerala
2015-01-28,0.0,0.020000000000000004,0.10999999999999999,0.15,0.02,0,Kozhikode,Kerala
2015-01-29,0.03,0.03,0.08,0.18,0.03,0,Kozhikode,Kerala
2015-01-30,0.02,0.05,0.09000000000000001,0.2,0.03,0,Kozhikode,Kerala
2015-01-31,0.01,0.06,0.09,0.21,0.03,0,Kozhikode,Kerala
2015-02-01,0.0,0.03,0.08,0.21,0.02,0,Kozhikode,Kerala
2015-02-02,0.02,0.030000000000000002,0.08,0.23,0.02,0,Kozhikode,Kerala
2015-02-03,0.0,0.020000000000000004,0.08,0.23,0.02,0,Kozhikode,Kerala
2015-02-04,0.0,0.020000000000000004,0.08,0.23,0.02,0,Kozhikode,Kerala
2015-02-05,0.0,0.0,0.05,0.19,0.0,0,Kozhikode,Kerala
2015-02-06,0.0,0.0,0.030000000000000002,0.13,0.0,0,Kozhikode,Kerala
2015-02-07,0.02,0.02,0.04000000000000001,0.14,0.02,0,Kozhikode,Kerala
2015-02-08,0.1,0.12000000000000001,0.14,0.22999999999999998,0.1,0,Kozhikode,Kerala
2015-02-09,0.08,0.2,0.2,0.30000000000000004,0.1,0,Kozhikode,Kerala
2015-02-10,0.01,0.19000000000000003,0.21000000000000002,0.29,0.1,0,Kozhikode,Kerala
2015-02-11,0.01,0.1,0.22,0.3,0.08,0,Kozhikode,Kerala
2015-02-12,0.01,0.03,0.23,0.31,0.01,0,Kozhikode,Kerala
2015-02-13,0.06,0.07999999999999999,0.29000000000000004,0.34,0.06,0,Kozhikode,Kerala
2015-02-14,0.0,0.07,0.27,0.32,0.06,0,Kozhikode,Kerala
2015-02-15,0.0,0.06,0.17,0.31,0.06,0,Kozhikode,Kerala
2015-02-16,0.01,0.01,0.09999999999999999,0.32,0.01,0,Kozhikode,Kerala
2015-02-17,0.02,0.03,0.11,0.31999999999999995,0.02,0,Kozhikode,Kerala
2015-02-18,0.02,0.05,0.12,0.33999999999999997,0.02,0,Kozhikode,Kerala
2015-02-19,0.02,0.06,0.13,0.36,0.02,0,Kozhikode,Kerala
2015-02-20,0.0,0.04000000000000001,0.07,0.36,0.02,0,Kozhikode,Kerala
2015-02-21,0.0,0.020000000000000004,0.07,0.36,0.02,0,Kozhikode,Kerala
2015-02-22,0.0,0.0,0.07,0.34,0.0,0,Kozhikode,Kerala
2015-02-23,0.0,0.0,0.06,0.24,0.0,0,Kozhikode,Kerala
2015-02-24,0.0,0.0,0.04,0.16,0.0,0,Kozhikode,Kerala
2015-02-25,0.0,0.0,0.02,0.15,0.0,0,Kozhikode,Kerala
2015-02-26,0.0,0.0,0.0,0.14,0.0,0,Kozhikode,Kerala
2015-02-27,0.07,0.07,0.07,0.2,0.07,0,Kozhikode,Kerala
2015-02-28,0.33,0.4,0.4,0.47000000000000003,0.33,0,Kozhikode,Kerala
2015-03-01,0.35,0.75,0.75,0.8200000000000001,0.35,0,Kozhikode,Kerala
2015-03-02,0.31,0.99,1.06,1.13,0.35,0,Kozhikode,Kerala
2015-03-03,1.13,1.79,2.19,2.25,1.13,0,Kozhikode,Kerala
2015-03-04,0.38,1.8199999999999998,2.57,2.61,1.13,0,Kozhikode,Kerala
2015-03-05,0.07,1.58,2.64,2.6599999999999997,1.13,0,Kozhikode,Kerala
2015-03-06,4.16,4.61,6.73,6.8,4.16,0,Kozhikode,Kerala
2015-03-07,2.26,6.49,8.66,9.059999999999999,4.16,0,Kozhikode,Kerala
2015-03-08,1.51,7.93,9.82,10.57,4.16,0,Kozhikode,Kerala
2015-03-09,1.23,5.0,10.74,11.799999999999999,2.26,0,Kozhikode,Kerala
2015-03-10,0.64,3.38,10.25,12.44,1.51,0,Kozhikode,Kerala
2015-03-11,0.11,1.98,9.98,12.549999999999999,1.23,0,Kozhikode,Kerala
2015-03-12,0.1,0.85,10.01,12.65,0.64,0,Kozhikode,Kerala
2015-03-13,1.29,1.5,7.14,13.94,1.29,0,Kozhikode,Kerala
2015-03-14,3.04,4.43,7.92,16.91,3.04,0,Kozhikode,Kerala
2015-03-15,11.68,16.009999999999998,18.09,28.26,11.68,0,Kozhikode,Kerala
2015-03-16,6.81,21.529999999999998,23.669999999999998,34.72,11.68,0,Kozhikode,Kerala
2015-03-17,1.73,20.22,24.759999999999998,36.14,11.68,0,Kozhikode,Kerala
2015-03-18,0.15,8.69,24.8,35.160000000000004,6.81,0,Kozhikode,Kerala
2015-03-19,0.06,1.94,24.759999999999998,34.839999999999996,1.73,0,Kozhikode,Kerala
2015-03-20,0.01,0.22,23.479999999999997,34.78,0.15,0,Kozhikode,Kerala
2015-03-21,0.01,0.08,20.45,30.63,0.06,0,Kozhikode,Kerala
2015-03-22,0.0,0.02,8.77,28.37,0.01,0,Kozhikode,Kerala
2015-03-23,0.0,0.01,1.96,26.86,0.01,0,Kozhikode,Kerala
2015-03-24,0.0,0.0,0.22999999999999998,25.63,0.0,0,Kozhikode,Kerala
2015-03-25,0.01,0.01,0.09,25.0,0.01,0,Kozhikode,Kerala
2015-03-26,0.01,0.02,0.04,24.9,0.01,0,Kozhikode,Kerala
2015-03-27,0.29,0.31,0.31999999999999995,25.09,0.29,0,Kozhikode,Kerala
2015-03-28,0.72,1.02,1.0299999999999998,24.52,0.72,0,Kozhikode,Kerala
2015-03-29,1.02,2.0300000000000002,2.05,22.5,1.02,0,Kozhikode,Kerala
2015-03-30,1.59,3.33,3.6399999999999997,12.41,1.59,0,Kozhikode,Kerala
2015-03-31,1.93,4.54,5.57,7.53,1.93,0,Kozhikode,Kerala
2015-04-01,4.03,7.55,9.59,9.830000000000002,4.03,0,Kozhikode,Kerala
2015-04-02,2.05,8.01,11.629999999999999,11.73,4.03,0,Kozhikode,Kerala
2015-04-03,2.78,8.86,14.12,14.45,4.03,0,Kozhikode,Kerala
2015-04-04,0.71,5.539999999999999,14.11,15.15,2.78,0,Kozhikode,Kerala
2015-04-05,0.3,3.7899999999999996,13.39,15.44,2.78,0,Kozhikode,Kerala
2015-04-06,2.72,3.73,14.52,18.16,2.72,0,Kozhikode,Kerala
2015-04-07,4.39,7.41,16.979999999999997,22.55,4.39,0,Kozhikode,Kerala
2015-04-08,2.84,9.95,15.79,25.39,4.39,0,Kozhikode,Kerala
2015-04-09,6.53,13.759999999999998,20.27,31.909999999999997,6.53,0,Kozhikode,Kerala
2015-04-10,7.79,17.16,25.28,39.69,7.79,0,Kozhikode,Kerala
2015-04-11,5.29,19.61,29.86,44.69,7.79,0,Kozhikode,Kerala
2015-04-12,6.76,19.84,36.32,50.730000000000004,7.79,0,Kozhikode,Kerala
2015-04-13,6.37,18.42,39.97,56.08,6.76,0,Kozhikode,Kerala
2015-04-14,4.55,17.68,40.13,59.040000000000006,6.76,0,Kozhikode,Kerala
2015-04-15,4.04,14.959999999999999,41.330000000000005,61.150000000000006,6.37,0,Kozhikode,Kerala
2015-04-16,2.53,11.12,37.330000000000005,59.65,4.55,0,Kozhikode,Kerala
2015-04-17,1.33,7.9,30.87,58.93,4.04,0,Kozhikode,Kerala
2015-04-18,0.55,4.41,26.13,56.699999999999996,2.53,0,Kozhikode,Kerala
2015-04-19,3.33,5.210000000000001,22.7,59.32,3.33,0,Kozhikode,Kerala
2015-04-20,2.99,6.870000000000001,19.32,62.01,3.33,0,Kozhikode,Kerala
2015-04-21,11.33,17.650000000000002,26.1,70.62,11.33,0,Kozhikode,Kerala
2015-04-22,4.43,18.75,26.490000000000002,70.66,11.33,0,Kozhikode,Kerala
2015-04-23,5.15,20.91,29.11,72.97,11.33,0,Kozhikode,Kerala
2015-04-24,5.13,14.71,32.91,71.57,5.15,0,Kozhikode,Kerala
2015-04-25,13.83,24.11,46.19,77.61,13.83,0,Kozhikode,Kerala
2015-04-26,2.84,21.8,45.7,75.16,13.83,0,Kozhikode,Kerala
2015-04-27,1.6,18.27,44.31,70.0,13.83,0,Kozhikode,Kerala
2015-04-28,1.22,5.66,34.2,64.85,2.84,0,Kozhikode,Kerala
2015-04-29,1.76,4.58,31.53,62.06,1.76,0,Kozhikode,Kerala
2015-04-30,2.48,5.46,28.86,60.5,2.48,0,Kozhikode,Kerala
2015-05-01,3.7,7.94,27.43,61.67,3.7,0,Kozhikode,Kerala
2015-05-02,3.49,9.67,17.09,63.83,3.7,0,Kozhikode,Kerala
2015-05-03,1.53,8.72,15.780000000000001,64.81,3.7,0,Kozhikode,Kerala
2015-05-04,2.77,7.79,16.950000000000003,64.25,3.49,0,Kozhikode,Kerala
2015-05-05,2.88,7.18,18.61,64.14,2.88,0,Kozhikode,Kerala
2015-05-06,4.71,10.36,21.560000000000002,57.52,4.71,0,Kozhikode,Kerala
2015-05-07,5.75,13.34,24.830000000000002,58.84,5.75,0,Kozhikode,Kerala
2015-05-08,5.86,16.32,26.99,59.55,5.86,0,Kozhikode,Kerala
2015-05-09,9.28,20.89,32.78,63.7,9.28,0,Kozhikode,Kerala
2015-05-10,8.81,23.950000000000003,40.06,58.68000000000001,9.28,0,Kozhikode,Kerala
2015-05-11,11.05,29.14,48.34,66.89,11.05,0,Kozhikode,Kerala
2015-05-12,13.52,33.38,58.980000000000004,78.81,13.52,0,Kozhikode,Kerala
2015-05-13,12.81,37.379999999999995,67.08,90.4,13.52,0,Kozhikode,Kerala
2015-05-14,10.13,36.46,71.46000000000001,98.77000000000001,13.52,0,Kozhikode,Kerala
2015-05-15,19.63,42.57,85.23,115.92,19.63,0,Kozhikode,Kerala
2015-05-16,12.72,42.480000000000004,88.67,124.94,19.63,0,Kozhikode,Kerala
2015-05-17,16.15,48.5,96.00999999999999,137.6,19.63,0,Kozhikode,Kerala
2015-05-18,16.87,45.74000000000001,101.83,152.94,16.87,0,Kozhikode,Kerala
2015-05-19,2.24,35.260000000000005,90.55000000000001,152.41,16.87,0,Kozhikode,Kerala
2015-05-20,1.14,20.250000000000007,78.88000000000001,150.67,16.87,0,Kozhikode,Kerala
2015-05-21,0.85,4.2300000000000075,69.6,146.80999999999997,2.24,0,Kozhikode,Kerala
2015-05-22,1.96,3.950000000000007,51.93,143.02,1.96,0,Kozhikode,Kerala
