,rain_1d,rain_3d,rain_7d,rain_15d,rain_max3d,is_monsoon,district,state
2015-01-01,0.46,0.46,0.46,0.46,0.46,0,Malappuram,Kerala
2015-01-02,0.0,0.46,0.46,0.46,0.46,0,Malappuram,Kerala
2015-01-03,0.0,0.46,0.46,0.46,0.46,0,Malappuram,Kerala
2015-01-04,0.0,0.0,0.46,0.46,0.0,0,Malappuram,Kerala
2015-01-05,0.0,0.0,0.46,0.46,0.0,0,Malappuram,Kerala
2015-01-06,0.0,0.0,0.46,0.46,0.0,0,Malappuram,Kerala
2015-01-07,0.0,0.0,0.46,0.46,0.0,0,Malappuram,Kerala
2015-01-08,0.0,0.0,0.0,0.46,0.0,0,Malappuram,Kerala
2015-01-09,0.0,0.0,0.0,0.46,0.0,0,Malappuram,Kerala
2015-01-10,0.0,0.0,0.0,0.46,0.0,0,Malappuram,Kerala
2015-01-11,0.0,0.0,0.0,0.46,0.0,0,Malappuram,Kerala
2015-01-12,0.0,0.0,0.0,0.46,0.0,0,Malappuram,Kerala
2015-01-13,0.0,0.0,0.0,0.46,0.0,0,Malappuram,Kerala
2015-01-14,0.0,0.0,0.0,0.46,0.0,0,Malappuram,Kerala
2015-01-15,0.0,0.0,0.0,0.46,0.0,0,Malappuram,Kerala
2015-01-16,0.0,0.0,0.0,0.0,0.0,0,Malappuram,Kerala
2015-01-17,0.0,0.0,0.0,0.0,0.0,0,Malappuram,Kerala
2015-01-18,0.0,0.0,0.0,0.0,0.0,0,Malappuram,Kerala
2015-01-19,0.0,0.0,0.0,0.0,0.0,0,Malappuram,Kerala
2015-01-20,0.0,0.0,0.0,0.0,0.0,0,Malappuram,Kerala
2015-01-21,0.03,0.03,0.03,0.03,0.03,0,Malappuram,Kerala
2015-01-22,0.12,0.15,0.15,0.15,0.12,0,Malappuram,Kerala
2015-01-23,0.0,0.15,0.15,0.15,0.12,0,Malappuram,Kerala
2015-01-24,0.01,0.13,0.16,0.16,0.12,0,Malappuram,Kerala
2015-01-25,0.0,0.01,0.16,0.16,0.01,0,Malappuram,Kerala
2015-01-26,0.0,0.01,0.16,0.16,0.01,0,Malappuram,Kerala
2015-01-27,0.0,0.0,0.16,0.16,0.0,0,Malappuram,Kerala
2015-01-28,0.0,0.0,0.13,0.16,0.0,0,Malappuram,Kerala
2015-01-29,0.0,0.0,0.01,0.16,0.0,0,Malappuram,Kerala
2015-01-30,0.0,0.0,0.01,0.16,0.0,0,Malappuram,Kerala
2015-01-31,0.0,0.0,0.0,0.16,0.0,0,Malappuram,Kerala
2015-02-01,0.0,0.0,0.0,0.16,0.0,0,Malappuram,Kerala
2015-02-02,0.0,0.0,0.0,0.16,0.0,0,Malappuram,Kerala
2015-02-03,0.0,0.0,0.0,0.16,0.0,0,Malappuram,Kerala
2015-02-04,0.0,0.0,0.0,0.16,0.0,0,Malappuram,Kerala
2015-02-05,0.0,0.0,0.0,0.13,0.0,0,Malappuram,Kerala
2015-02-06,0.01,0.01,0.01,0.02,0.01,0,Malappuram,Kerala
2015-02-07,0.06,0.06999999999999999,0.06999999999999999,0.08,0.06,0,Malappuram,Kerala
2015-02-08,0.0,0.07,0.07,0.07,0.06,0,Malappuram,Kerala
2015-02-09,0.01,0.06999999999999999,0.08,0.08,0.06,0,Malappuram,Kerala
2015-02-10,0.0,0.01,0.08,0.08,0.01,0,Malappuram,Kerala
2015-02-11,0.0,0.01,0.08,0.08,0.01,0,Malappuram,Kerala
2015-02-12,0.04,0.04,0.12,0.12000000000000001,0.04,0,Malappuram,Kerala
2015-02-13,0.29,0.32999999999999996,0.39999999999999997,0.41,0.29,0,Malappuram,Kerala
2015-02-14,0.01,0.33999999999999997,0.35,0.42,0.29,0,Malappuram,Kerala
