,rain_1d,rain_3d,rain_7d,rain_15d,rain_max3d,is_monsoon,district,state
2015-01-01,0.23,0.23,0.23,0.23,0.23,0,Pune,Maharashtra
2015-01-02,0.04,0.27,0.27,0.27,0.23,0,Pune,Maharashtra
2015-01-03,0.0,0.27,0.27,0.27,0.23,0,Pune,Maharashtra
2015-01-04,0.0,0.04,0.27,0.27,0.04,0,Pune,Maharashtra
2015-01-05,0.0,0.0,0.27,0.27,0.0,0,Pune,Maharashtra
2015-01-06,0.0,0.0,0.27,0.27,0.0,0,Pune,Maharashtra
2015-01-07,0.0,0.0,0.27,0.27,0.0,0,Pune,Maharashtra
2015-01-08,0.0,0.0,0.04,0.27,0.0,0,Pune,Maharashtra
2015-01-09,0.0,0.0,0.0,0.27,0.0,0,Pune,Maharashtra
2015-01-10,0.0,0.0,0.0,0.27,0.0,0,Pune,Maharashtra
2015-01-11,0.0,0.0,0.0,0.27,0.0,0,Pune,Maharashtra
2015-01-12,0.0,0.0,0.0,0.27,0.0,0,Pune,Maharashtra
2015-01-13,0.0,0.0,0.0,0.27,0.0,0,Pune,Maharashtra
2015-01-14,0.0,0.0,0.0,0.27,0.0,0,Pune,Maharashtra
2015-01-15,0.0,0.0,0.0,0.27,0.0,0,Pune,Maharashtra
2015-01-16,0.0,0.0,0.0,0.04,0.0,0,Pune,Maharashtra
2015-01-17,0.0,0.0,0.0,0.0,0.0,0,Pune,Maharashtra
2015-01-18,0.0,0.0,0.0,0.0,0.0,0,Pune,Maharashtra
2015-01-19,0.0,0.0,0.0,0.0,0.0,0,Pune,Maharashtra
2015-01-20,0.0,0.0,0.0,0.0,0.0,0,Pune,Maharashtra
2015-01-21,0.0,0.0,0.0,0.0,0.0,0,Pune,Maharashtra
2015-01-22,0.0,0.0,0.0,0.0,0.0,0,Pune,Maharashtra
2015-01-23,0.0,0.0,0.0,0.0,0.0,0,Pune,Maharashtra
2015-01-24,0.21,0.21,0.21,0.21,0.21,0,Pune,Maharashtra
2015-01-25,0.17,0.38,0.38,0.38,0.21,0,Pune,Maharashtra
2015-01-26,0.0,0.38,0.38,0.38,0.21,0,Pune,Maharashtra
2015-01-27,0.0,0.17,0.38,0.38,0.17,0,Pune,Maharashtra
2015-01-28,0.0,0.0,0.38,0.38,0.0,0,Pune,Maharashtra
2015-01-29,0.0,0.0,0.38,0.38,0.0,0,Pune,Maharashtra
2015-01-30,0.0,0.0,0.38,0.38,0.0,0,Pune,Maharashtra
2015-01-31,0.0,0.0,0.17,0.38,0.0,0,Pune,Maharashtra
2015-02-01,0.0,0.0,0.0,0.38,0.0,0,Pune,Maharashtra
2015-02-02,0.0,0.0,0.0,0.38,0.0,0,Pune,Maharashtra
2015-02-03,0.0,0.0,0.0,0.38,0.0,0,Pune,Maharashtra
2015-02-04,0.0,0.0,0.0,0.38,0.0,0,Pune,Maharashtra
2015-02-05,0.0,0.0,0.0,0.38,0.0,0,Pune,Maharashtra
2015-02-06,0.0,0.0,0.0,0.38,0.0,0,Pune,Maharashtra
2015-02-07,0.0,0.0,0.0,0.38,0.0,0,Pune,Maharashtra
2015-02-08,0.0,0.0,0.0,0.17,0.0,0,Pune,Maharashtra
2015-02-09,0.0,0.0,0.0,0.0,0.0,0,Pune,Maharashtra
2015-02-10,0.08,0.08,0.08,0.08,0.08,0,Pune,Maharashtra
2015-02-11,0.0,0.08,0.08,0.08,0.08,0,Pune,Maharashtra
2015-02-12,0.0,0.08,0.08,0.08,0.08,0,Pune,Maharashtra
2015-02-13,0.0,0.0,0.08,0.08,0.0,0,Pune,Maharashtra
2015-02-14,0.0,0.0,0.08,0.08,0.0,0,Pune,Maharashtra
2015-02-15,0.0,0.0,0.08,0.08,0.0,0,Pune,Maharashtra
2015-02-16,0.0,0.0,0.08,0.08,0.0,0,Pune,Maharashtra
2015-02-17,0.0,0.0,0.0,0.08,0.0,0,Pune,Maharashtra
2015-02-18,0.0,0.0,0.0,0.08,0.0,0,Pune,Maharashtra
2015-02-19,0.0,0.0,0.0,0.08,0.0,0,Pune,Maharashtra
2015-02-20,0.0,0.0,0.0,0.08,0.0,0,Pune,Maharashtra
2015-02-21,0.0,0.0,0.0,0.08,0.0,0,Pune,Maharashtra
2015-02-22,0.0,0.0,0.0,0.08,0.0,0,Pune,Maharashtra
2015-02-23,0.0,0.0,0.0,0.08,0.0,0,Pune,Maharashtra
2015-02-24,0.0,0.0,0.0,0.08,0.0,0,Pune,Maharashtra
2015-02-25,0.0,0.0,0.0,0.0,0.0,0,Pune,Maharashtra
2015-02-26,0.0,0.0,0.0,0.0,0.0,0,Pune,Maharashtra
2015-02-27,0.0,0.0,0.0,0.0,0.0,0,Pune,Maharashtra
2015-02-28,14.91,14.91,14.91,14.91,14.91,0,Pune,Maharashtra
2015-03-01,17.15,32.06,32.06,32.06,17.15,0,Pune,Maharashtra
2015-03-02,1.13,33.19,33.19,33.19,17.15,0,Pune,Maharashtra
2015-03-03,0.0,18.279999999999998,33.19,33.19,17.15,0,Pune,Maharashtra
2015-03-04,0.0,1.13,33.19,33.19,1.13,0,Pune,Maharashtra
2015-03-05,0.0,0.0,33.19,33.19,0.0,0,Pune,Maharashtra
2015-03-06,0.0,0.0,33.19,33.19,0.0,0,Pune,Maharashtra
2015-03-07,0.0,0.0,18.279999999999998,33.19,0.0,0,Pune,Maharashtra
2015-03-08,0.0,0.0,1.13,33.19,0.0,0,Pune,Maharashtra
2015-03-09,0.0,0.0,0.0,33.19,0.0,0,Pune,Maharashtra
2015-03-10,0.8,0.8,0.8,33.99,0.8,0,Pune,Maharashtra
2015-03-11,0.32,1.12,1.12,34.309999999999995,0.8,0,Pune,Maharashtra
2015-03-12,0.0,1.12,1.12,34.309999999999995,0.8,0,Pune,Maharashtra
2015-03-13,1.12,1.4400000000000002,2.24,35.43,1.12,0,Pune,Maharashtra
2015-03-14,1.58,2.7,3.8200000000000003,37.01,1.58,0,Pune,Maharashtra
2015-03-15,0.35,3.0500000000000003,4.17,22.45,1.58,0,Pune,Maharashtra
2015-03-16,0.01,1.94,4.180000000000001,5.3100000000000005,1.58,0,Pune,Maharashtra
2015-03-17,0.0,0.36,3.3800000000000003,4.180000000000001,0.35,0,Pune,Maharashtra
2015-03-18,0.0,0.01,3.06,4.180000000000001,0.01,0,Pune,Maharashtra
2015-03-19,0.0,0.0,3.06,4.180000000000001,0.0,0,Pune,Maharashtra
2015-03-20,0.0,0.0,1.94,4.180000000000001,0.0,0,Pune,Maharashtra
2015-03-21,0.0,0.0,0.36,4.180000000000001,0.0,0,Pune,Maharashtra
2015-03-22,0.0,0.0,0.01,4.180000000000001,0.0,0,Pune,Maharashtra
2015-03-23,0.0,0.0,0.0,4.180000000000001,0.0,0,Pune,Maharashtra
2015-03-24,0.0,0.0,0.0,4.180000000000001,0.0,0,Pune,Maharashtra
2015-03-25,0.0,0.0,0.0,3.3800000000000003,0.0,0,Pune,Maharashtra
2015-03-26,0.0,0.0,0.0,3.06,0.0,0,Pune,Maharashtra
2015-03-27,0.03,0.03,0.03,3.0900000000000003,0.03,0,Pune,Maharashtra
2015-03-28,0.12,0.15,0.15,2.09,0.12,0,Pune,Maharashtra
2015-03-29,2.6,2.75,2.75,3.11,2.6,0,Pune,Maharashtra
2015-03-30,0.41,3.1300000000000003,3.16,3.17,2.6,0,Pune,Maharashtra
2015-03-31,0.0,3.0100000000000002,3.16,3.16,2.6,0,Pune,Maharashtra
2015-04-01,0.0,0.41,3.16,3.16,0.41,0,Pune,Maharashtra
2015-04-02,0.0,0.0,3.16,3.16,0.0,0,Pune,Maharashtra
2015-04-03,0.0,0.0,3.1300000000000003,3.16,0.0,0,Pune,Maharashtra
2015-04-04,0.0,0.0,3.0100000000000002,3.16,0.0,0,Pune,Maharashtra
2015-04-05,0.0,0.0,0.41,3.16,0.0,0,Pune,Maharashtra
2015-04-06,0.0,0.0,0.0,3.16,0.0,0,Pune,Maharashtra
2015-04-07,0.0,0.0,0.0,3.16,0.0,0,Pune,Maharashtra
2015-04-08,0.0,0.0,0.0,3.16,0.0,0,Pune,Maharashtra
2015-04-09,0.0,0.0,0.0,3.16,0.0,0,Pune,Maharashtra
2015-04-10,0.05,0.05,0.05,3.21,0.05,0,Pune,Maharashtra
2015-04-11,0.24,0.29,0.29,3.42,0.24,0,Pune,Maharashtra
2015-04-12,0.12,0.41,0.41,3.42,0.24,0,Pune,Maharashtra
2015-04-13,0.37,0.73,0.78,1.19,0.37,0,Pune,Maharashtra
2015-04-14,0.04,0.53,0.82,0.8200000000000001,0.37,0,Pune,Maharashtra
2015-04-15,0.0,0.41,0.82,0.8200000000000001,0.37,0,Pune,Maharashtra
2015-04-16,0.01,0.05,0.83,0.8300000000000001,0.04,0,Pune,Maharashtra
2015-04-17,0.0,0.01,0.7799999999999999,0.8300000000000001,0.01,0,Pune,Maharashtra
2015-04-18,0.0,0.01,0.54,0.8300000000000001,0.01,0,Pune,Maharashtra
2015-04-19,0.0,0.0,0.42,0.8300000000000001,0.0,0,Pune,Maharashtra
2015-04-20,0.0,0.0,0.05,0.8300000000000001,0.0,0,Pune,Maharashtra
2015-04-21,0.0,0.0,0.01,0.8300000000000001,0.0,0,Pune,Maharashtra
2015-04-22,0.0,0.0,0.01,0.8300000000000001,0.0,0,Pune,Maharashtra
2015-04-23,0.0,0.0,0.0,0.8300000000000001,0.0,0,Pune,Maharashtra
