,rain_1d,rain_3d,rain_7d,rain_15d,rain_max3d,is_monsoon,district,state
2015-01-01,0.1,0.1,0.1,0.1,0.1,0,Raigad,Maharashtra
2015-01-02,0.0,0.1,0.1,0.1,0.1,0,Raigad,Maharashtra
2015-01-03,0.01,0.11,0.11,0.11,0.1,0,Raigad,Maharashtra
2015-01-04,0.0,0.01,0.11,0.11,0.01,0,Raigad,Maharashtra
2015-01-05,0.0,0.01,0.11,0.11,0.01,0,Raigad,Maharashtra
2015-01-06,0.0,0.0,0.11,0.11,0.0,0,Raigad,Maharashtra
2015-01-07,0.0,0.0,0.11,0.11,0.0,0,Raigad,Maharashtra
2015-01-08,0.0,0.0,0.01,0.11,0.0,0,Raigad,Maharashtra
2015-01-09,0.0,0.0,0.01,0.11,0.0,0,Raigad,Maharashtra
2015-01-10,0.0,0.0,0.0,0.11,0.0,0,Raigad,Maharashtra
2015-01-11,0.0,0.0,0.0,0.11,0.0,0,Raigad,Maharashtra
2015-01-12,0.0,0.0,0.0,0.11,0.0,0,Raigad,Maharashtra
2015-01-13,0.0,0.0,0.0,0.11,0.0,0,Raigad,Maharashtra
2015-01-14,0.0,0.0,0.0,0.11,0.0,0,Raigad,Maharashtra
2015-01-15,0.0,0.0,0.0,0.11,0.0,0,Raigad,Maharashtra
2015-01-16,0.0,0.0,0.0,0.01,0.0,0,Raigad,Maharashtra
2015-01-17,0.0,0.0,0.0,0.01,0.0,0,Raigad,Maharashtra
2015-01-18,0.0,0.0,0.0,0.0,0.0,0,Raigad,Maharashtra
2015-01-19,0.0,0.0,0.0,0.0,0.0,0,Raigad,Maharashtra
2015-01-20,0.0,0.0,0.0,0.0,0.0,0,Raigad,Maharashtra
2015-01-21,0.0,0.0,0.0,0.0,0.0,0,Raigad,Maharashtra
2015-01-22,0.18,0.18,0.18,0.18,0.18,0,Raigad,Maharashtra
2015-01-23,0.0,0.18,0.18,0.18,0.18,0,Raigad,Maharashtra
2015-01-24,0.01,0.19,0.19,0.19,0.18,0,Raigad,Maharashtra
2015-01-25,0.12,0.13,0.31,0.31,0.12,0,Raigad,Maharashtra
2015-01-26,0.0,0.13,0.31,0.31,0.12,0,Raigad,Maharashtra
2015-01-27,0.0,0.12,0.31,0.31,0.12,0,Raigad,Maharashtra
2015-01-28,0.0,0.0,0.31,0.31,0.0,0,Raigad,Maharashtra
2015-01-29,0.0,0.0,0.13,0.31,0.0,0,Raigad,Maharashtra
2015-01-30,0.0,0.0,0.13,0.31,0.0,0,Raigad,Maharashtra
2015-01-31,0.0,0.0,0.12,0.31,0.0,0,Raigad,Maharashtra
2015-02-01,0.0,0.0,0.0,0.31,0.0,0,Raigad,Maharashtra
2015-02-02,0.0,0.0,0.0,0.31,0.0,0,Raigad,Maharashtra
2015-02-03,0.0,0.0,0.0,0.31,0.0,0,Raigad,Maharashtra
2015-02-04,0.0,0.0,0.0,0.31,0.0,0,Raigad,Maharashtra
2015-02-05,0.0,0.0,0.0,0.31,0.0,0,Raigad,Maharashtra
2015-02-06,0.03,0.03,0.03,0.15999999999999998,0.03,0,Raigad,Maharashtra
2015-02-07,0.0,0.03,0.03,0.15999999999999998,0.03,0,Raigad,Maharashtra
2015-02-08,0.0,0.03,0.03,0.14999999999999997,0.03,0,Raigad,Maharashtra
2015-02-09,0.0,0.0,0.03,0.03,0.0,0,Raigad,Maharashtra
2015-02-10,0.01,0.01,0.04,0.04,0.01,0,Raigad,Maharashtra
2015-02-11,0.06,0.06999999999999999,0.1,0.1,0.06,0,Raigad,Maharashtra
2015-02-12,0.0,0.07,0.1,0.1,0.06,0,Raigad,Maharashtra
2015-02-13,0.0,0.06,0.07,0.1,0.06,0,Raigad,Maharashtra
2015-02-14,0.0,0.0,0.07,0.1,0.0,0,Raigad,Maharashtra
2015-02-15,0.0,0.0,0.07,0.1,0.0,0,Raigad,Maharashtra
2015-02-16,0.0,0.0,0.07,0.1,0.0,0,Raigad,Maharashtra
2015-02-17,0.0,0.0,0.06,0.1,0.0,0,Raigad,Maharashtra
2015-02-18,0.0,0.0,0.0,0.1,0.0,0,Raigad,Maharashtra
2015-02-19,0.0,0.0,0.0,0.1,0.0,0,Raigad,Maharashtra
2015-02-20,0.0,0.0,0.0,0.1,0.0,0,Raigad,Maharashtra
2015-02-21,0.0,0.0,0.0,0.07,0.0,0,Raigad,Maharashtra
2015-02-22,0.0,0.0,0.0,0.07,0.0,0,Raigad,Maharashtra
2015-02-23,0.0,0.0,0.0,0.07,0.0,0,Raigad,Maharashtra
2015-02-24,0.0,0.0,0.0,0.07,0.0,0,Raigad,Maharashtra
2015-02-25,0.0,0.0,0.0,0.06,0.0,0,Raigad,Maharashtra
2015-02-26,0.0,0.0,0.0,0.0,0.0,0,Raigad,Maharashtra
2015-02-27,0.0,0.0,0.0,0.0,0.0,0,Raigad,Maharashtra
2015-02-28,4.0,4.0,4.0,4.0,4.0,0,Raigad,Maharashtra
2015-03-01,35.26,39.26,39.26,39.26,35.26,0,Raigad,Maharashtra
2015-03-02,0.4,39.66,39.66,39.66,35.26,0,Raigad,Maharashtra
2015-03-03,0.0,35.66,39.66,39.66,35.26,0,Raigad,Maharashtra
2015-03-04,0.0,0.4,39.66,39.66,0.4,0,Raigad,Maharashtra
2015-03-05,0.0,0.0,39.66,39.66,0.0,0,Raigad,Maharashtra
2015-03-06,0.0,0.0,39.66,39.66,0.0,0,Raigad,Maharashtra
2015-03-07,0.0,0.0,35.66,39.66,0.0,0,Raigad,Maharashtra
2015-03-08,0.0,0.0,0.4,39.66,0.0,0,Raigad,Maharashtra
2015-03-09,0.0,0.0,0.0,39.66,0.0,0,Raigad,Maharashtra
2015-03-10,0.58,0.58,0.58,40.239999999999995,0.58,0,Raigad,Maharashtra
2015-03-11,0.13,0.71,0.71,40.37,0.58,0,Raigad,Maharashtra
