,rain_1d,rain_3d,rain_7d,rain_15d,rain_max3d,is_monsoon,district,state
2015-01-01,2.52,2.52,2.52,2.52,2.52,0,Theni,Tamil Nadu
2015-01-02,0.0,2.52,2.52,2.52,2.52,0,Theni,Tamil Nadu
2015-01-03,0.0,2.52,2.52,2.52,2.52,0,Theni,Tamil Nadu
2015-01-04,0.0,0.0,2.52,2.52,0.0,0,Theni,Tamil Nadu
2015-01-05,0.0,0.0,2.52,2.52,0.0,0,Theni,Tamil Nadu
2015-01-06,0.0,0.0,2.52,2.52,0.0,0,Theni,Tamil Nadu
2015-01-07,0.0,0.0,2.52,2.52,0.0,0,Theni,Tamil Nadu
2015-01-08,0.0,0.0,0.0,2.52,0.0,0,Theni,Tamil Nadu
2015-01-09,0.0,0.0,0.0,2.52,0.0,0,Theni,Tamil Nadu
2015-01-10,0.0,0.0,0.0,2.52,0.0,0,Theni,Tamil Nadu
2015-01-11,0.0,0.0,0.0,2.52,0.0,0,Theni,Tamil Nadu
2015-01-12,0.0,0.0,0.0,2.52,0.0,0,Theni,Tamil Nadu
2015-01-13,0.0,0.0,0.0,2.52,0.0,0,Theni,Tamil Nadu
2015-01-14,0.0,0.0,0.0,2.52,0.0,0,Theni,Tamil Nadu
2015-01-15,0.0,0.0,0.0,2.52,0.0,0,Theni,Tamil Nadu
2015-01-16,0.0,0.0,0.0,0.0,0.0,0,Theni,Tamil Nadu
2015-01-17,0.0,0.0,0.0,0.0,0.0,0,Theni,Tamil Nadu
2015-01-18,0.0,0.0,0.0,0.0,0.0,0,Theni,Tamil Nadu
2015-01-19,0.0,0.0,0.0,0.0,0.0,0,Theni,Tamil Nadu
2015-01-20,0.0,0.0,0.0,0.0,0.0,0,Theni,Tamil Nadu
2015-01-21,0.04,0.04,0.04,0.04,0.04,0,Theni,Tamil Nadu
2015-01-22,0.52,0.56,0.56,0.56,0.52,0,Theni,Tamil Nadu
2015-01-23,0.4,0.9600000000000001,0.9600000000000001,0.9600000000000001,0.52,0,Theni,Tamil Nadu
2015-01-24,0.12,1.04,1.08,1.08,0.52,0,Theni,Tamil Nadu
2015-01-25,0.0,0.52,1.08,1.08,0.4,0,Theni,Tamil Nadu
2015-01-26,0.0,0.12,1.08,1.08,0.12,0,Theni,Tamil Nadu
2015-01-27,0.0,0.0,1.08,1.08,0.0,0,Theni,Tamil Nadu
2015-01-28,0.0,0.0,1.04,1.08,0.0,0,Theni,Tamil Nadu
2015-01-29,0.0,0.0,0.52,1.08,0.0,0,Theni,Tamil Nadu
2015-01-30,0.0,0.0,0.12,1.08,0.0,0,Theni,Tamil Nadu
2015-01-31,0.0,0.0,0.0,1.08,0.0,0,Theni,Tamil Nadu
2015-02-01,0.0,0.0,0.0,1.08,0.0,0,Theni,Tamil Nadu
2015-02-02,0.0,0.0,0.0,1.08,0.0,0,Theni,Tamil Nadu
2015-02-03,0.0,0.0,0.0,1.08,0.0,0,Theni,Tamil Nadu
2015-02-04,0.05,0.05,0.05,1.1300000000000001,0.05,0,Theni,Tamil Nadu
2015-02-05,0.05,0.1,0.1,1.1400000000000001,0.05,0,Theni,Tamil Nadu
2015-02-06,0.04,0.14,0.14,0.66,0.05,0,Theni,Tamil Nadu
2015-02-07,0.18,0.27,0.32,0.44,0.18,0,Theni,Tamil Nadu
2015-02-08,0.0,0.22000000000000003,0.32,0.32,0.18,0,Theni,Tamil Nadu
2015-02-09,0.0,0.18000000000000002,0.32,0.32,0.18,0,Theni,Tamil Nadu
2015-02-10,0.0,0.0,0.32,0.32,0.0,0,Theni,Tamil Nadu
2015-02-11,0.0,0.0,0.27,0.32,0.0,0,Theni,Tamil Nadu
2015-02-12,0.03,0.030000000000000027,0.25,0.35,0.03,0,Theni,Tamil Nadu
2015-02-13,0.03,0.060000000000000026,0.24,0.38,0.03,0,Theni,Tamil Nadu
2015-02-14,0.0,0.060000000000000026,0.06,0.38,0.03,0,Theni,Tamil Nadu
2015-02-15,0.0,0.030000000000000027,0.06,0.38,0.03,0,Theni,Tamil Nadu
2015-02-16,0.0,0.0,0.06,0.38,0.0,0,Theni,Tamil Nadu
2015-02-17,0.0,0.0,0.06,0.38,0.0,0,Theni,Tamil Nadu
2015-02-18,0.0,0.0,0.06,0.38,0.0,0,Theni,Tamil Nadu
2015-02-19,0.0,0.0,0.03,0.33,0.0,0,Theni,Tamil Nadu
2015-02-20,0.0,0.0,0.0,0.28,0.0,0,Theni,Tamil Nadu
2015-02-21,0.0,0.0,0.0,0.24,0.0,0,Theni,Tamil Nadu
2015-02-22,0.0,0.0,0.0,0.06,0.0,0,Theni,Tamil Nadu
2015-02-23,0.0,0.0,0.0,0.06,0.0,0,Theni,Tamil Nadu
2015-02-24,0.0,0.0,0.0,0.06,0.0,0,Theni,Tamil Nadu
2015-02-25,0.0,0.0,0.0,0.06,0.0,0,Theni,Tamil Nadu
2015-02-26,0.25,0.25,0.25,0.31,0.25,0,Theni,Tamil Nadu
2015-02-27,0.75,1.0,1.0,1.03,0.75,0,Theni,Tamil Nadu
2015-02-28,0.09,1.09,1.09,1.09,0.75,0,Theni,Tamil Nadu
2015-03-01,0.01,0.85,1.1,1.1,0.75,0,Theni,Tamil Nadu
2015-03-02,0.24,0.33999999999999997,1.34,1.34,0.24,0,Theni,Tamil Nadu
2015-03-03,0.38,0.63,1.72,1.72,0.38,0,Theni,Tamil Nadu
2015-03-04,0.04,0.66,1.76,1.76,0.38,0,Theni,Tamil Nadu
2015-03-05,0.0,0.42,1.51,1.76,0.38,0,Theni,Tamil Nadu
2015-03-06,0.66,0.7,1.42,2.42,0.66,0,Theni,Tamil Nadu
2015-03-07,2.43,3.09,3.76,4.85,2.43,0,Theni,Tamil Nadu
2015-03-08,1.04,4.130000000000001,4.790000000000001,5.890000000000001,2.43,0,Theni,Tamil Nadu
2015-03-09,0.02,3.49,4.57,5.91,2.43,0,Theni,Tamil Nadu
2015-03-10,0.0,1.06,4.19,5.91,1.04,0,Theni,Tamil Nadu
2015-03-11,0.0,0.02,4.15,5.91,0.02,0,Theni,Tamil Nadu
2015-03-12,0.0,0.0,4.15,5.91,0.0,0,Theni,Tamil Nadu
2015-03-13,0.0,0.0,3.49,5.66,0.0,0,Theni,Tamil Nadu
2015-03-14,2.92,2.92,3.98,7.83,2.92,0,Theni,Tamil Nadu
2015-03-15,2.63,5.55,5.57,10.370000000000001,2.92,0,Theni,Tamil Nadu
2015-03-16,5.11,10.66,10.66,15.47,5.11,0,Theni,Tamil Nadu
2015-03-17,1.48,9.22,12.14,16.71,5.11,0,Theni,Tamil Nadu
2015-03-18,0.0,6.59,12.14,16.330000000000002,5.11,0,Theni,Tamil Nadu
2015-03-19,0.0,1.48,12.14,16.29,1.48,0,Theni,Tamil Nadu
2015-03-20,0.0,0.0,12.14,16.29,0.0,0,Theni,Tamil Nadu
2015-03-21,0.0,0.0,9.22,15.63,0.0,0,Theni,Tamil Nadu
2015-03-22,0.0,0.0,6.59,13.200000000000001,0.0,0,Theni,Tamil Nadu
2015-03-23,0.0,0.0,1.48,12.16,0.0,0,Theni,Tamil Nadu
2015-03-24,0.0,0.0,0.0,12.14,0.0,0,Theni,Tamil Nadu
2015-03-25,0.0,0.0,0.0,12.14,0.0,0,Theni,Tamil Nadu
2015-03-26,0.0,0.0,0.0,12.14,0.0,0,Theni,Tamil Nadu
2015-03-27,0.0,0.0,0.0,12.14,0.0,0,Theni,Tamil Nadu
2015-03-28,0.19,0.19,0.19,12.33,0.19,0,Theni,Tamil Nadu
2015-03-29,0.53,0.72,0.72,9.94,0.53,0,Theni,Tamil Nadu
