,rain_1d,rain_3d,rain_7d,rain_15d,rain_max3d,is_monsoon,district,state
2015-01-01,1.02,1.02,1.02,1.02,1.02,0,Thrissur,Kerala
2015-01-02,0.0,1.02,1.02,1.02,1.02,0,Thrissur,Kerala
2015-01-03,0.0,1.02,1.02,1.02,1.02,0,Thrissur,Kerala
2015-01-04,0.0,0.0,1.02,1.02,0.0,0,Thrissur,Kerala
2015-01-05,0.0,0.0,1.02,1.02,0.0,0,Thrissur,Kerala
2015-01-06,0.0,0.0,1.02,1.02,0.0,0,Thrissur,Kerala
2015-01-07,0.0,0.0,1.02,1.02,0.0,0,Thrissur,Kerala
2015-01-08,0.0,0.0,0.0,1.02,0.0,0,Thrissur,Kerala
2015-01-09,0.0,0.0,0.0,1.02,0.0,0,Thrissur,Kerala
2015-01-10,0.0,0.0,0.0,1.02,0.0,0,Thrissur,Kerala
2015-01-11,0.0,0.0,0.0,1.02,0.0,0,Thrissur,Kerala
2015-01-12,0.0,0.0,0.0,1.02,0.0,0,Thrissur,Kerala
2015-01-13,0.0,0.0,0.0,1.02,0.0,0,Thrissur,Kerala
2015-01-14,0.0,0.0,0.0,1.02,0.0,0,Thrissur,Kerala
2015-01-15,0.0,0.0,0.0,1.02,0.0,0,Thrissur,Kerala
2015-01-16,0.0,0.0,0.0,0.0,0.0,0,Thrissur,Kerala
2015-01-17,0.0,0.0,0.0,0.0,0.0,0,Thrissur,Kerala
2015-01-18,0.0,0.0,0.0,0.0,0.0,0,Thrissur,Kerala
2015-01-19,0.0,0.0,0.0,0.0,0.0,0,Thrissur,Kerala
2015-01-20,0.0,0.0,0.0,0.0,0.0,0,Thrissur,Kerala
2015-01-21,0.18,0.18,0.18,0.18,0.18,0,Thrissur,Kerala
2015-01-22,0.62,0.8,0.8,0.8,0.62,0,Thrissur,Kerala
2015-01-23,0.0,0.7999999999999999,0.7999999999999999,0.7999999999999999,0.62,0,Thrissur,Kerala
2015-01-24,0.03,0.6499999999999999,0.83,0.83,0.62,0,Thrissur,Kerala
2015-01-25,0.01,0.04,0.84,0.84,0.03,0,Thrissur,Kerala
2015-01-26,0.01,0.05,0.85,0.85,0.03,0,Thrissur,Kerala
2015-01-27,0.0,0.02,0.85,0.85,0.01,0,Thrissur,Kerala
2015-01-28,0.0,0.01,0.6699999999999999,0.85,0.01,0,Thrissur,Kerala
2015-01-29,0.0,0.0,0.05,0.85,0.0,0,Thrissur,Kerala
2015-01-30,0.0,0.0,0.05,0.85,0.0,0,Thrissur,Kerala
2015-01-31,0.0,0.0,0.02,0.85,0.0,0,Thrissur,Kerala
2015-02-01,0.0,0.0,0.01,0.85,0.0,0,Thrissur,Kerala
2015-02-02,0.0,0.0,0.0,0.85,0.0,0,Thrissur,Kerala
2015-02-03,0.0,0.0,0.0,0.85,0.0,0,Thrissur,Kerala
2015-02-04,0.0,0.0,0.0,0.85,0.0,0,Thrissur,Kerala
2015-02-05,0.0,0.0,0.0,0.6699999999999999,0.0,0,Thrissur,Kerala
2015-02-06,0.05,0.05,0.05,0.1,0.05,0,Thrissur,Kerala
2015-02-07,0.35,0.39999999999999997,0.39999999999999997,0.44999999999999996,0.35,0,Thrissur,Kerala
2015-02-08,0.01,0.41,0.41,0.42999999999999994,0.35,0,Thrissur,Kerala
