,rain_1d,rain_3d,rain_7d,rain_15d,rain_max3d,is_monsoon,district,state
2015-01-01,0.49,0.49,0.49,0.49,0.49,0,Uttara Kannada,Karnataka
2015-01-02,0.07,0.56,0.56,0.56,0.49,0,Uttara Kannada,Karnataka
2015-01-03,0.0,0.56,0.56,0.56,0.49,0,Uttara Kannada,Karnataka
2015-01-04,0.0,0.07,0.56,0.56,0.07,0,Uttara Kannada,Karnataka
2015-01-05,0.0,0.0,0.56,0.56,0.0,0,Uttara Kannada,Karnataka
2015-01-06,0.0,0.0,0.56,0.56,0.0,0,Uttara Kannada,Karnataka
2015-01-07,0.0,0.0,0.56,0.56,0.0,0,Uttara Kannada,Karnataka
2015-01-08,0.0,0.0,0.07,0.56,0.0,0,Uttara Kannada,Karnataka
2015-01-09,0.0,0.0,0.0,0.56,0.0,0,Uttara Kannada,Karnataka
2015-01-10,0.0,0.0,0.0,0.56,0.0,0,Uttara Kannada,Karnataka
2015-01-11,0.0,0.0,0.0,0.56,0.0,0,Uttara Kannada,Karnataka
2015-01-12,0.0,0.0,0.0,0.56,0.0,0,Uttara Kannada,Karnataka
2015-01-13,0.0,0.0,0.0,0.56,0.0,0,Uttara Kannada,Karnataka
2015-01-14,0.0,0.0,0.0,0.56,0.0,0,Uttara Kannada,Karnataka
2015-01-15,0.0,0.0,0.0,0.56,0.0,0,Uttara Kannada,Karnataka
2015-01-16,0.0,0.0,0.0,0.07,0.0,0,Uttara Kannada,Karnataka
2015-01-17,0.0,0.0,0.0,0.0,0.0,0,Uttara Kannada,Karnataka
2015-01-18,0.0,0.0,0.0,0.0,0.0,0,Uttara Kannada,Karnataka
2015-01-19,0.0,0.0,0.0,0.0,0.0,0,Uttara Kannada,Karnataka
2015-01-20,0.0,0.0,0.0,0.0,0.0,0,Uttara Kannada,Karnataka
2015-01-21,0.0,0.0,0.0,0.0,0.0,0,Uttara Kannada,Karnataka
2015-01-22,0.0,0.0,0.0,0.0,0.0,0,Uttara Kannada,Karnataka
2015-01-23,0.0,0.0,0.0,0.0,0.0,0,Uttara Kannada,Karnataka
2015-01-24,0.0,0.0,0.0,0.0,0.0,0,Uttara Kannada,Karnataka
2015-01-25,0.0,0.0,0.0,0.0,0.0,0,Uttara Kannada,Karnataka
2015-01-26,0.0,0.0,0.0,0.0,0.0,0,Uttara Kannada,Karnataka
2015-01-27,0.0,0.0,0.0,0.0,0.0,0,Uttara Kannada,Karnataka
2015-01-28,0.0,0.0,0.0,0.0,0.0,0,Uttara Kannada,Karnataka
2015-01-29,0.0,0.0,0.0,0.0,0.0,0,Uttara Kannada,Karnataka
2015-01-30,0.0,0.0,0.0,0.0,0.0,0,Uttara Kannada,Karnataka
2015-01-31,0.0,0.0,0.0,0.0,0.0,0,Uttara Kannada,Karnataka
