,rain_1d,rain_3d,rain_7d,rain_15d,rain_max3d,is_monsoon,district,state
2015-01-01,0.21,0.21,0.21,0.21,0.21,0,Wayanad,Kerala
2015-01-02,0.0,0.21,0.21,0.21,0.21,0,Wayanad,Kerala
2015-01-03,0.0,0.21,0.21,0.21,0.21,0,Wayanad,Kerala
2015-01-04,0.0,0.0,0.21,0.21,0.0,0,Wayanad,Kerala
2015-01-05,0.0,0.0,0.21,0.21,0.0,0,Wayanad,Kerala
2015-01-06,0.0,0.0,0.21,0.21,0.0,0,Wayanad,Kerala
2015-01-07,0.0,0.0,0.21,0.21,0.0,0,Wayanad,Kerala
2015-01-08,0.0,0.0,0.0,0.21,0.0,0,Wayanad,Kerala
2015-01-09,0.0,0.0,0.0,0.21,0.0,0,Wayanad,Kerala
2015-01-10,0.0,0.0,0.0,0.21,0.0,0,Wayanad,Kerala
2015-01-11,0.0,0.0,0.0,0.21,0.0,0,Wayanad,Kerala
2015-01-12,0.0,0.0,0.0,0.21,0.0,0,Wayanad,Kerala
2015-01-13,0.0,0.0,0.0,0.21,0.0,0,Wayanad,Kerala
2015-01-14,0.0,0.0,0.0,0.21,0.0,0,Wayanad,Kerala
2015-01-15,0.0,0.0,0.0,0.21,0.0,0,Wayanad,Kerala
2015-01-16,0.0,0.0,0.0,0.0,0.0,0,Wayanad,Kerala
2015-01-17,0.0,0.0,0.0,0.0,0.0,0,Wayanad,Kerala
2015-01-18,0.0,0.0,0.0,0.0,0.0,0,Wayanad,Kerala
2015-01-19,0.0,0.0,0.0,0.0,0.0,0,Wayanad,Kerala
2015-01-20,0.0,0.0,0.0,0.0,0.0,0,Wayanad,Kerala
2015-01-21,0.01,0.01,0.01,0.01,0.01,0,Wayanad,Kerala
2015-01-22,0.02,0.03,0.03,0.03,0.02,0,Wayanad,Kerala
2015-01-23,0.0,0.030000000000000002,0.030000000000000002,0.030000000000000002,0.02,0,Wayanad,Kerala
2015-01-24,0.0,0.020000000000000004,0.030000000000000002,0.030000000000000002,0.02,0,Wayanad,Kerala
2015-01-25,0.0,0.0,0.030000000000000002,0.030000000000000002,0.0,0,Wayanad,Kerala
2015-01-26,0.0,0.0,0.030000000000000002,0.030000000000000002,0.0,0,Wayanad,Kerala
2015-01-27,0.0,0.0,0.030000000000000002,0.030000000000000002,0.0,0,Wayanad,Kerala
2015-01-28,0.0,0.0,0.020000000000000004,0.030000000000000002,0.0,0,Wayanad,Kerala
2015-01-29,0.0,0.0,0.0,0.030000000000000002,0.0,0,Wayanad,Kerala
2015-01-30,0.0,0.0,0.0,0.030000000000000002,0.0,0,Wayanad,Kerala
2015-01-31,0.0,0.0,0.0,0.030000000000000002,0.0,0,Wayanad,Kerala
2015-02-01,0.0,0.0,0.0,0.030000000000000002,0.0,0,Wayanad,Kerala
2015-02-02,0.0,0.0,0.0,0.030000000000000002,0.0,0,Wayanad,Kerala
2015-02-03,0.0,0.0,0.0,0.030000000000000002,0.0,0,Wayanad,Kerala
2015-02-04,0.0,0.0,0.0,0.030000000000000002,0.0,0,Wayanad,Kerala
2015-02-05,0.0,0.0,0.0,0.020000000000000004,0.0,0,Wayanad,Kerala
2015-02-06,0.0,0.0,0.0,0.0,0.0,0,Wayanad,Kerala
2015-02-07,0.01,0.01,0.01,0.01,0.01,0,Wayanad,Kerala
2015-02-08,0.01,0.02,0.02,0.02,0.01,0,Wayanad,Kerala
2015-02-09,0.01,0.03,0.03,0.03,0.01,0,Wayanad,Kerala
2015-02-10,0.0,0.019999999999999997,0.03,0.03,0.01,0,Wayanad,Kerala
2015-02-11,0.0,0.01,0.03,0.03,0.01,0,Wayanad,Kerala
2015-02-12,0.01,0.01,0.04,0.04,0.01,0,Wayanad,Kerala
2015-02-13,0.09,0.09999999999999999,0.13,0.13,0.09,0,Wayanad,Kerala
2015-02-14,0.01,0.10999999999999999,0.13,0.14,0.09,0,Wayanad,Kerala
2015-02-15,0.0,0.09999999999999999,0.12,0.14,0.09,0,Wayanad,Kerala
2015-02-16,0.0,0.01,0.11,0.14,0.01,0,Wayanad,Kerala
2015-02-17,0.0,0.0,0.11,0.14,0.0,0,Wayanad,Kerala
2015-02-18,0.0,0.0,0.11,0.14,0.0,0,Wayanad,Kerala
2015-02-19,0.0,0.0,0.1,0.14,0.0,0,Wayanad,Kerala
2015-02-20,0.0,0.0,0.010000000000000014,0.14,0.0,0,Wayanad,Kerala
2015-02-21,0.0,0.0,0.0,0.14,0.0,0,Wayanad,Kerala
2015-02-22,0.0,0.0,0.0,0.13,0.0,0,Wayanad,Kerala
2015-02-23,0.0,0.0,0.0,0.12,0.0,0,Wayanad,Kerala
2015-02-24,0.0,0.0,0.0,0.11,0.0,0,Wayanad,Kerala
2015-02-25,0.0,0.0,0.0,0.11,0.0,0,Wayanad,Kerala
2015-02-26,0.0,0.0,0.0,0.11,0.0,0,Wayanad,Kerala
2015-02-27,0.01,0.01,0.010000000000000014,0.11000000000000001,0.01,0,Wayanad,Kerala
2015-02-28,0.39,0.4,0.4,0.41000000000000003,0.39,0,Wayanad,Kerala
2015-03-01,0.2,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.39,0,Wayanad,Kerala
2015-03-02,0.72,1.31,1.32,1.32,0.72,0,Wayanad,Kerala
2015-03-03,2.73,3.65,4.05,4.05,2.73,0,Wayanad,Kerala
2015-03-04,0.84,4.29,4.890000000000001,4.890000000000001,2.73,0,Wayanad,Kerala
2015-03-05,0.02,3.59,4.91,4.91,2.73,0,Wayanad,Kerala
2015-03-06,8.45,9.309999999999999,13.35,13.36,8.45,0,Wayanad,Kerala
2015-03-07,1.98,10.45,14.94,15.34,8.45,0,Wayanad,Kerala
2015-03-08,0.86,11.29,15.6,16.2,8.45,0,Wayanad,Kerala
2015-03-09,0.8,3.64,15.68,17.0,1.98,0,Wayanad,Kerala
2015-03-10,0.34,2.0,13.29,17.34,0.86,0,Wayanad,Kerala
2015-03-11,0.01,1.1500000000000001,12.459999999999999,17.349999999999998,0.8,0,Wayanad,Kerala
2015-03-12,0.01,0.36000000000000004,12.45,17.36,0.34,0,Wayanad,Kerala
2015-03-13,0.21,0.22999999999999998,4.21,17.57,0.21,0,Wayanad,Kerala
2015-03-14,0.68,0.9,2.91,18.24,0.68,0,Wayanad,Kerala
2015-03-15,10.99,11.88,13.040000000000001,28.840000000000003,10.99,0,Wayanad,Kerala
2015-03-16,8.31,19.980000000000004,20.55,36.95,10.99,0,Wayanad,Kerala
2015-03-17,0.36,19.660000000000004,20.57,36.59,10.99,0,Wayanad,Kerala
2015-03-18,0.0,8.67,20.560000000000002,33.86000000000001,8.31,0,Wayanad,Kerala
2015-03-19,0.0,0.36,20.55,33.02,0.36,0,Wayanad,Kerala
2015-03-20,0.0,0.0,20.34,33.00000000000001,0.0,0,Wayanad,Kerala
2015-03-21,0.0,0.0,19.66,24.55,0.0,0,Wayanad,Kerala
2015-03-22,0.0,0.0,8.67,22.57,0.0,0,Wayanad,Kerala
2015-03-23,0.0,0.0,0.36,21.71,0.0,0,Wayanad,Kerala
2015-03-24,0.0,0.0,0.0,20.91,0.0,0,Wayanad,Kerala
2015-03-25,0.0,0.0,0.0,20.57,0.0,0,Wayanad,Kerala
2015-03-26,0.0,0.0,0.0,20.560000000000002,0.0,0,Wayanad,Kerala
2015-03-27,0.04,0.04,0.04,20.59,0.04,0,Wayanad,Kerala
2015-03-28,0.12,0.16,0.16,20.5,0.12,0,Wayanad,Kerala
2015-03-29,0.25,0.41000000000000003,0.41000000000000003,20.07,0.25,0,Wayanad,Kerala
2015-03-30,0.48,0.8500000000000001,0.89,9.56,0.48,0,Wayanad,Kerala
2015-03-31,1.17,1.9,2.06,2.42,1.17,0,Wayanad,Kerala
2015-04-01,2.46,4.109999999999999,4.52,4.52,2.46,0,Wayanad,Kerala
2015-04-02,0.79,4.42,5.3100000000000005,5.3100000000000005,2.46,0,Wayanad,Kerala
2015-04-03,3.02,6.27,8.29,8.33,3.02,0,Wayanad,Kerala
2015-04-04,0.82,4.63,8.99,9.15,3.02,0,Wayanad,Kerala
2015-04-05,0.07,3.91,8.81,9.22,3.02,0,Wayanad,Kerala
2015-04-06,0.87,1.76,9.200000000000001,10.09,0.87,0,Wayanad,Kerala
2015-04-07,1.98,2.92,10.01,12.07,1.98,0,Wayanad,Kerala
2015-04-08,0.85,3.7,8.4,12.92,1.98,0,Wayanad,Kerala
2015-04-09,4.87,7.7,12.48,17.79,4.87,0,Wayanad,Kerala
2015-04-10,5.61,11.330000000000002,15.07,23.4,5.61,0,Wayanad,Kerala
2015-04-11,2.16,12.64,16.41,25.520000000000003,5.61,0,Wayanad,Kerala
2015-04-12,3.6,11.370000000000001,19.94,29.0,5.61,0,Wayanad,Kerala
2015-04-13,5.94,11.7,25.009999999999998,34.69,5.94,0,Wayanad,Kerala
2015-04-14,5.84,15.379999999999999,28.869999999999997,40.050000000000004,5.94,0,Wayanad,Kerala
