district,state,slope_deg,elevation_m,aspect_deg,curvature,twi,lulc_class,lithology,dist_river_km,drainage_density,ndvi
Wayanad,Kerala,24.5,870,112,-0.42,7.8,0,1,1.2,2.8,0.72
Idukki,Kerala,28.2,1050,95,-0.55,7.2,0,2,0.9,3.1,0.68
Malappuram,Kerala,18.3,420,78,-0.28,8.1,1,1,2.1,2.4,0.61
Kozhikode,Kerala,15.7,320,88,-0.22,8.4,1,1,1.8,2.2,0.58
Thrissur,Kerala,12.1,210,102,-0.15,8.9,1,1,2.8,1.9,0.52
Kodagu,Karnataka,26.8,1100,85,-0.61,7.0,0,2,0.7,3.4,0.74
Chikmagalur,Karnataka,22.4,890,92,-0.48,7.5,0,2,1.4,2.9,0.69
Uttara Kannada,Karnataka,19.6,610,105,-0.35,7.9,0,3,1.1,2.6,0.71
Shivamogga,Karnataka,17.3,540,118,-0.29,8.2,0,3,1.6,2.5,0.65
Dakshina Kannada,Karnataka,20.1,490,96,-0.38,7.7,0,1,1.0,2.7,0.7
Ratnagiri,Maharashtra,16.8,350,75,-0.25,8.3,1,3,2.0,2.1,0.55
Sindhudurg,Maharashtra,14.2,280,82,-0.19,8.6,1,3,2.4,2.0,0.53
Satara,Maharashtra,21.5,780,120,-0.44,7.6,1,3,1.5,2.7,0.48
Raigad,Maharashtra,18.9,520,88,-0.33,7.8,1,3,1.3,2.4,0.51
Pune,Maharashtra,13.4,580,130,-0.17,8.8,2,3,3.2,1.8,0.38
Kolhapur,Maharashtra,15.1,460,110,-0.21,8.5,1,3,2.2,2.1,0.46
Nilgiris,Tamil Nadu,27.3,1820,98,-0.59,6.9,0,2,0.8,3.5,0.76
Coimbatore,Tamil Nadu,11.8,440,125,-0.14,9.1,2,2,3.5,1.7,0.41
Dindigul,Tamil Nadu,17.6,620,108,-0.31,8.0,1,2,2.0,2.3,0.49
Theni,Tamil Nadu,23.9,940,92,-0.51,7.3,0,2,1.1,3.0,0.66
